date,Sem Sal Marilia Mendonça,Sem Sal Ao Vivo,Passa Mal Marilia Mendonça,Passa Mal Ao Vivo,Bebi Liguei Marilia Mendonça,isPartial
2017-04-23,0,0,0,1,0,False
2017-04-30,0,0,0,1,0,False
2017-05-07,0,0,0,1,0,False
2017-05-14,0,0,0,1,0,False
2017-05-21,0,0,1,0,0,False
2017-05-28,0,0,0,0,0,False
2017-06-04,0,0,0,0,0,False
2017-06-11,0,0,0,0,0,False
2017-06-18,0,0,0,1,0,False
2017-06-25,0,0,0,0,0,False
2017-07-02,0,0,0,0,0,False
2017-07-09,0,0,0,0,0,False
2017-07-16,0,0,0,1,0,False
2017-07-23,0,0,0,1,0,False
2017-07-30,0,0,0,2,0,False
2017-08-06,0,0,0,6,0,False
2017-08-13,0,0,0,0,0,False
2017-08-20,0,0,0,1,0,False
2017-08-27,0,0,0,1,0,False
2017-09-03,0,0,0,1,0,False
2017-09-10,0,0,0,0,0,False
2017-09-17,0,0,0,1,0,False
2017-09-24,0,0,0,0,0,False
2017-10-01,0,0,0,1,0,False
2017-10-08,0,0,0,0,0,False
2017-10-15,0,0,0,0,0,False
2017-10-22,0,0,0,0,0,False
2017-10-29,0,0,0,0,0,False
2017-11-05,0,0,0,0,0,False
2017-11-12,0,0,0,0,0,False
2017-11-19,0,0,0,0,0,False
2017-11-26,0,0,0,0,0,False
2017-12-03,0,0,0,0,0,False
2017-12-10,0,0,0,0,0,False
2017-12-17,0,0,0,0,0,False
2017-12-24,0,0,0,0,0,False
2017-12-31,0,0,0,0,0,False
2018-01-07,0,0,0,0,0,False
2018-01-14,0,0,0,0,0,False
2018-01-21,0,0,0,0,0,False
2018-01-28,0,0,0,0,0,False
2018-02-04,0,0,0,0,0,False
2018-02-11,0,0,0,0,0,False
2018-02-18,0,0,0,0,0,False
2018-02-25,0,0,0,0,0,False
2018-03-04,0,0,0,0,0,False
2018-03-11,0,0,0,0,0,False
2018-03-18,0,0,0,1,0,False
2018-03-25,0,0,0,1,0,False
2018-04-01,0,0,0,0,0,False
2018-04-08,0,0,0,2,0,False
2018-04-15,0,0,0,0,0,False
2018-04-22,0,0,0,0,0,False
2018-04-29,0,0,0,1,0,False
2018-05-06,0,0,0,0,0,False
2018-05-13,0,0,0,0,0,False
2018-05-20,0,0,0,0,0,False
2018-05-27,0,0,0,0,0,False
2018-06-03,0,0,0,0,0,False
2018-06-10,0,0,0,0,0,False
2018-06-17,0,0,0,0,0,False
2018-06-24,0,0,0,0,0,False
2018-07-01,0,0,0,0,0,False
2018-07-08,0,0,0,0,0,False
2018-07-15,0,0,0,0,0,False
2018-07-22,0,0,0,0,0,False
2018-07-29,0,0,0,0,0,False
2018-08-05,0,0,0,0,0,False
2018-08-12,0,0,0,0,0,False
2018-08-19,0,0,0,0,0,False
2018-08-26,0,0,0,0,0,False
2018-09-02,0,0,0,2,0,False
2018-09-09,0,0,0,1,0,False
2018-09-16,0,0,0,0,0,False
2018-09-23,0,0,0,0,0,False
2018-09-30,0,0,0,0,0,False
2018-10-07,0,0,0,0,0,False
2018-10-14,2,0,0,0,0,False
2018-10-21,23,0,0,1,0,False
2018-10-28,28,0,0,1,0,False
2018-11-04,19,0,0,1,0,False
2018-11-11,11,0,0,0,0,False
2018-11-18,11,0,2,0,0,False
2018-11-25,12,0,1,0,1,False
2018-12-02,9,0,1,0,0,False
2018-12-09,8,0,35,0,0,False
2018-12-16,8,0,9,1,12,False
2018-12-23,5,0,11,1,8,False
2018-12-30,8,0,10,1,7,False
2019-01-06,6,0,8,0,4,False
2019-01-13,7,0,8,0,0,False
2019-01-20,6,0,7,1,4,False
2019-01-27,5,0,6,0,3,False
2019-02-03,9,0,5,0,3,False
2019-02-10,5,0,6,0,4,False
2019-02-17,5,0,6,0,2,False
2019-02-24,5,0,5,0,1,False
2019-03-03,6,0,6,0,2,False
2019-03-10,6,0,2,0,3,False
2019-03-17,3,0,3,0,3,False
2019-03-24,4,0,4,2,5,False
2019-03-31,4,0,3,1,3,False
2019-04-07,4,0,3,1,1,False
2019-04-14,3,0,3,1,4,False
2019-04-21,4,0,3,2,4,False
2019-04-28,4,0,1,0,4,False
2019-05-05,6,0,2,0,1,False
2019-05-12,5,0,5,6,3,False
2019-05-19,5,0,4,10,1,False
2019-05-26,6,0,7,3,3,False
2019-06-02,3,0,2,1,1,False
2019-06-09,3,0,4,0,1,False
2019-06-16,6,0,2,0,3,False
2019-06-23,6,0,3,0,15,False
2019-06-30,3,0,3,0,5,False
2019-07-07,2,0,3,0,7,False
2019-07-14,4,0,0,0,14,False
2019-07-21,2,0,1,0,13,False
2019-07-28,2,0,2,0,5,False
2019-08-04,1,0,3,0,8,False
2019-08-11,3,0,4,1,3,False
2019-08-18,1,0,3,0,4,False
2019-08-25,3,0,0,0,4,False
2019-09-01,2,0,2,1,7,False
2019-09-08,2,0,2,0,4,False
2019-09-15,0,0,1,0,6,False
2019-09-22,3,0,1,0,6,False
2019-09-29,1,0,3,1,8,False
2019-10-06,2,0,1,0,6,False
2019-10-13,3,0,2,0,10,False
2019-10-20,3,0,1,0,8,False
2019-10-27,3,0,0,6,4,False
2019-11-03,0,0,0,2,4,False
2019-11-10,1,0,0,0,4,False
2019-11-17,0,0,1,0,3,False
2019-11-24,3,0,1,1,6,False
2019-12-01,1,0,1,0,3,False
2019-12-08,2,0,1,0,3,False
2019-12-15,2,0,0,2,1,False
2019-12-22,2,0,1,0,3,False
2019-12-29,1,0,3,1,4,False
2020-01-05,2,0,0,0,1,False
2020-01-12,2,0,1,1,3,False
2020-01-19,1,0,0,0,0,False
2020-01-26,1,0,0,0,2,False
2020-02-02,0,0,0,0,0,False
2020-02-09,0,0,2,0,1,False
2020-02-16,0,0,0,2,0,False
2020-02-23,1,0,0,0,2,False
2020-03-01,1,0,0,0,3,False
2020-03-08,0,0,0,0,1,False
2020-03-15,0,0,0,2,1,False
2020-03-22,0,0,0,0,1,False
2020-03-29,1,0,1,0,1,False
2020-04-05,5,0,9,1,7,False
2020-04-12,4,0,3,0,2,False
2020-04-19,1,0,1,88,1,False
2020-04-26,1,0,0,100,0,False
2020-05-03,0,0,1,3,1,False
2020-05-10,1,0,3,4,1,False
2020-05-17,0,0,0,3,0,False
2020-05-24,2,0,0,5,1,False
2020-05-31,1,0,0,1,0,False
2020-06-07,0,0,0,3,2,False
2020-06-14,0,0,0,1,1,False
2020-06-21,1,0,1,3,1,False
2020-06-28,1,0,1,1,1,False
2020-07-05,1,0,0,0,1,False
2020-07-12,1,0,0,1,1,False
2020-07-19,0,0,0,0,1,False
2020-07-26,0,0,0,0,0,False
2020-08-02,1,0,0,1,0,False
2020-08-09,0,0,1,0,0,False
2020-08-16,1,0,0,0,2,False
2020-08-23,0,0,0,1,1,False
2020-08-30,0,0,1,1,1,False
2020-09-06,0,0,0,1,1,False
2020-09-13,0,0,0,0,0,False
2020-09-20,1,0,0,0,1,False
2020-09-27,0,0,0,1,1,False
2020-10-04,0,0,0,1,0,False
2020-10-11,0,0,0,0,1,False
2020-10-18,0,0,1,0,0,False
2020-10-25,0,0,0,0,0,False
2020-11-01,0,0,0,0,0,False
2020-11-08,0,0,0,2,1,False
2020-11-15,0,0,0,1,0,False
2020-11-22,0,0,0,2,0,False
2020-11-29,0,0,0,0,0,False
2020-12-06,0,0,0,0,0,False
2020-12-13,0,0,0,3,0,False
2020-12-20,0,0,0,1,0,False
2020-12-27,0,0,0,0,0,False
2021-01-03,0,0,0,1,0,False
2021-01-10,0,0,0,0,0,False
2021-01-17,1,0,0,1,0,False
2021-01-24,0,0,0,0,1,False
2021-01-31,0,0,0,0,1,False
2021-02-07,0,0,0,0,0,False
2021-02-14,1,0,0,0,1,False
2021-02-21,0,0,0,0,1,False
2021-02-28,0,0,0,1,0,False
2021-03-07,0,0,0,0,1,False
2021-03-14,0,0,0,0,0,False
2021-03-21,0,0,0,0,0,False
2021-03-28,0,0,0,7,0,False
2021-04-04,0,0,0,7,0,False
2021-04-11,0,0,0,2,0,False
2021-04-18,0,0,0,2,1,False
2021-04-25,0,0,0,2,2,False
2021-05-02,0,0,0,2,0,False
2021-05-09,0,0,0,1,0,False
2021-05-16,0,0,0,2,0,False
2021-05-23,0,0,0,6,0,False
2021-05-30,0,0,0,1,0,False
2021-06-06,0,0,0,3,0,False
2021-06-13,0,0,0,9,0,False
2021-06-20,0,0,0,2,0,False
2021-06-27,0,0,0,2,0,False
2021-07-04,0,0,0,3,0,False
2021-07-11,0,0,0,0,0,False
2021-07-18,0,0,0,0,0,False
2021-07-25,0,0,0,1,1,False
2021-08-01,0,0,0,1,0,False
2021-08-08,0,0,0,1,1,False
2021-08-15,1,0,0,1,0,False
2021-08-22,0,0,0,0,1,False
2021-08-29,0,0,0,3,0,False
2021-09-05,0,0,0,1,0,False
2021-09-12,0,0,0,0,0,False
2021-09-19,0,0,0,1,0,False
2021-09-26,1,0,0,1,1,False
2021-10-03,0,0,0,0,0,False
2021-10-10,0,0,0,0,0,False
2021-10-17,0,0,0,0,0,False
2021-10-24,0,0,0,0,0,False
2021-10-31,3,0,15,0,5,False
2021-11-07,5,0,5,0,8,False
2021-11-14,3,0,3,0,4,False
2021-11-21,1,0,1,0,3,False
2021-11-28,1,0,1,0,2,False
2021-12-05,0,0,1,1,0,False
2021-12-12,1,0,1,0,0,False
2021-12-19,2,0,0,0,2,False
2021-12-26,0,0,1,0,2,False
2022-01-02,1,0,1,12,0,False
2022-01-09,1,0,2,3,0,False
2022-01-16,0,0,0,2,0,False
2022-01-23,1,0,1,0,0,False
2022-01-30,1,0,0,3,0,False
2022-02-06,0,0,0,0,0,False
2022-02-13,0,0,1,1,1,False
2022-02-20,1,0,1,0,1,False
2022-02-27,0,0,0,0,0,False
2022-03-06,0,0,0,0,0,False
2022-03-13,0,0,0,0,1,False
2022-03-20,0,0,0,3,1,False
2022-03-27,0,0,0,1,0,False
2022-04-03,1,0,2,0,0,False
2022-04-10,0,0,0,0,0,False
2022-04-17,0,0,0,0,0,True
